Draw Date	Winning Numbers	Multiplier
8/13/14	08 37 39 40 52 24	2
8/9/14	03 12 31 34 51 24	2
8/6/14	01 08 24 28 49 24	5
8/2/14	12 26 44 46 47 29	2
7/30/14	13 30 42 49 53 29	3
7/26/14	24 28 30 38 39 16	2
7/23/14	04 10 12 22 31 03	5
7/19/14	10 17 25 45 53 09	2
7/16/14	05 15 18 26 32 35	3
7/12/14	02 03 07 23 51 26	2
7/9/14	09 25 42 55 57 14	2
7/5/14	24 34 36 57 58 11	4
7/2/14	08 18 45 53 58 35	2
6/25/14	10 20 25 50 53 35	4
6/21/14	05 06 37 41 54 26	3
6/18/14	06 09 29 52 59 07	3
6/14/14	09 33 42 45 54 30	3
6/11/14	14 18 25 33 49 23	5
6/7/14	28 30 35 58 59 15	2
6/4/14	01 07 10 22 49 24	3
5/31/14	15 27 31 34 48 01	2
5/28/14	02 24 28 32 59 25	3
5/24/14	15 16 28 49 55 18	2
5/21/14	04 20 34 39 58 31	5
5/17/14	23 32 39 47 49 22	3
5/14/14	07 33 39 52 55 33	3
5/10/14	04 31 41 47 55 01	2
5/7/14	17 29 31 48 49 34	2
5/3/14	05 15 16 46 49 26	4
4/30/14	02 09 11 19 50 32	3
4/26/14	03 07 22 30 33 20	3
4/23/14	19 25 29 36 48 12	4
4/19/14	05 06 29 35 51 21	5
4/16/14	34 39 42 44 59 08	3
4/12/14	14 26 45 54 55 20	2
4/9/14	09 14 44 48 49 29	2
4/5/14	11 21 26 33 34 29	5
4/2/14	08 13 19 22 53 24	2
3/29/14	02 03 12 27 38 17	2
3/26/14	28 33 41 44 59 21	2
3/22/14	13 28 31 55 58 15	2
3/19/14	02 19 23 34 43 14	2
3/15/14	02 05 34 51 58 09	4
3/12/14	14 15 28 37 54 10	2
3/8/14	10 14 24 32 41 30	2
3/5/14	03 07 09 26 54 19	2
3/1/14	03 08 25 30 47 13	4
2/26/14	11 12 17 38 42 02	2
2/22/14	02 03 13 14 54 04	5
2/19/14	01 17 35 49 54 34	3
2/15/14	02 09 14 21 23 03	3
2/12/14	36 44 49 52 57 01	2
2/8/14	24 25 34 37 54 29	2
2/5/14	08 17 32 57 59 24	3
2/1/14	05 12 15 27 38 07	2
1/29/14	11 23 28 32 47 20	2
1/25/14	08 12 18 55 57 02	2
1/22/14	01 02 07 09 55 29	3
1/18/14	13 14 19 31 38 25
1/15/14	07 08 09 24 29 25
1/11/14	10 15 33 48 54 34
1/8/14	10 28 39 47 58 22
1/4/14	19 20 37 41 58 14
1/1/14	15 24 40 48 52 23
12/28/13	08 35 44 51 56 18
12/25/13	23 28 38 39 56 32
12/21/13	25 36 40 45 51 08
12/18/13	07 24 37 39 40 01
12/14/13	14 25 32 33 41 34
12/11/13	01 10 13 18 19 27
12/7/13	13 20 32 45 48 17
12/4/13	06 09 11 31 44 25
11/30/13	05 26 44 45 57 29
11/27/13	18 25 50 55 57 17
11/23/13	05 12 43 52 55 10
11/20/13	04 18 23 32 45 07
11/16/13	10 29 37 44 59 10
11/13/13	05 31 50 55 56 09
11/9/13	03 09 37 49 56 32
11/6/13	01 05 10 15 49 22
11/2/13	13 23 24 27 40 17
10/30/13	02 36 40 49 54 10
10/26/13	04 06 34 49 56 29
10/23/13	03 23 31 34 47 13
10/19/13	09 33 54 56 57 05
10/16/13	03 26 28 34 42 28
10/12/13	08 10 26 57 58 04
10/9/13	03 09 19 33 38 18
10/5/13	11 12 17 39 40 05
10/2/13	04 06 25 42 51 17
9/28/13	14 47 52 53 54 05
9/25/13	02 07 17 49 53 23
9/21/13	12 17 45 54 58 13
9/18/13	07 10 22 32 35 19
9/14/13	01 17 25 37 44 20
9/11/13	11 19 33 42 52 33
9/7/13	02 19 22 26 45 24
9/4/13	02 09 26 45 47 11
8/31/13	02 07 25 40 56 20
8/28/13	06 07 09 19 32 13
8/24/13	12 17 25 45 59 19
8/21/13	30 40 42 46 48 23
8/17/13	18 21 46 54 56 23
8/14/13	04 11 17 43 51 20
8/10/13	04 12 14 37 58 13
8/7/13	05 25 30 58 59 32
8/3/13	21 24 36 42 45 15
7/31/13	08 24 39 49 59 05
7/27/13	09 23 40 53 58 06
7/24/13	09 29 40 44 54 07
7/20/13	14 25 27 38 58 06
7/17/13	01 22 34 38 42 17
7/13/13	02 08 22 35 37 06
7/10/13	30 31 45 55 59 27
7/6/13	02 13 35 36 52 11
7/3/13	03 06 29 40 51 04
6/29/13	08 28 30 53 56 16
6/26/13	01 18 33 39 46 33
6/22/13	13 19 23 33 57 28
6/19/13	07 46 47 52 57 17
6/15/13	28 36 40 48 55 01
6/12/13	16 22 23 42 55 32
6/8/13	02 11 22 26 32 19
6/5/13	04 26 33 36 55 32
6/1/13	22 28 33 53 59 14
5/29/13	09 14 17 49 57 02
5/25/13	02 06 19 21 27 25
5/22/13	09 31 35 41 57 26
5/18/13	10 13 14 22 52 11
5/15/13	02 11 26 34 41 32
5/11/13	06 13 19 23 43 16
5/8/13	21 22 26 30 57 27
5/4/13	07 12 26 36 40 17
5/1/13	22 26 31 54 55 18
4/27/13	03 23 48 54 55 05
4/24/13	09 19 31 56 59 02
4/20/13	06 08 30 39 48 20
4/17/13	13 18 36 48 58 28
4/13/13	10 12 31 56 57 33
4/10/13	01 36 40 52 53 20
4/6/13	04 07 08 29 39 24
4/3/13	01 06 08 12 35 03
3/30/13	11 23 26 46 55 27
3/27/13	07 37 43 48 52 16
3/23/13	17 29 31 52 53 31
3/20/13	13 14 17 43 54 15
3/16/13	03 07 21 44 53 16
3/13/13	05 09 28 32 38 29
3/9/13	10 37 40 46 52 12
3/6/13	06 10 23 41 45 01
3/2/13	03 08 13 41 56 16
2/27/13	03 14 20 34 48 21
2/23/13	02 05 31 39 41 29
2/20/13	03 17 19 25 32 17
2/16/13	15 16 46 50 58 29
2/13/13	12 23 25 27 43 29
2/9/13	05 06 16 36 58 03
2/6/13	05 27 36 38 41 12
2/2/13	11 16 33 40 41 34
1/30/13	14 16 32 47 52 16
1/26/13	03 22 26 41 49 18
1/23/13	11 12 24 43 45 09
1/19/13	08 28 29 34 38 35
1/16/13	09 21 28 32 51 35
1/12/13	10 14 21 23 47 07
1/9/13	11 13 20 27 59 26
1/5/13	26 30 49 51 54 25
1/2/13	18 20 28 35 53 20
12/29/12	36 46 50 52 55 14
12/26/12	11 13 23 43 54 04
12/22/12	01 18 35 39 44 11
12/19/12	05 08 20 23 30 03
12/15/12	15 23 40 44 55 14
12/12/12	08 10 25 36 44 28
12/8/12	07 23 26 40 53 21
12/5/12	13 17 19 27 38 12
12/1/12	03 10 19 36 46 03
11/28/12	05 16 22 23 29 06
11/24/12	22 32 37 44 50 34
11/21/12	08 18 24 30 39 26
11/17/12	03 15 27 58 59 20
11/14/12	08 10 30 44 58 13
11/10/12	32 42 50 54 55 32
11/7/12	32 34 45 52 58 20
11/3/12	04 07 09 30 54 25
10/31/12	01 27 31 45 48 05
10/27/12	22 32 34 36 56 33
10/24/12	03 18 21 23 50 04
10/20/12	04 21 28 31 44 10
10/17/12	01 07 10 23 42 35
10/13/12	02 05 25 26 49 18
10/10/12	18 26 29 35 43 28
10/6/12	15 26 34 36 59 35
10/3/12	17 23 36 55 59 10
9/29/12	14 18 28 29 57 08
9/26/12	13 26 39 41 42 10
9/22/12	02 16 18 40 42 33
9/19/12	01 05 08 39 50 23
9/15/12	03 20 26 43 48 01
9/12/12	24 33 36 48 56 06
9/8/12	06 20 34 44 48 29
9/5/12	04 19 26 42 51 29
9/1/12	08 11 21 44 49 22
8/29/12	25 28 49 54 56 28
8/25/12	01 06 07 20 49 23
8/22/12	22 29 31 47 55 19
8/18/12	14 26 41 55 59 01
8/15/12	06 27 46 51 56 21
8/11/12	04 13 39 46 51 01
8/8/12	03 07 11 15 28 12
8/4/12	19 30 48 53 55 18
8/1/12	03 16 48 56 58 04
7/28/12	05 06 13 36 50 13
7/25/12	03 14 35 38 46 16
7/21/12	09 31 38 54 56 20
7/18/12	02 05 20 23 57 03
7/14/12	04 16 32 37 46 13
7/11/12	05 22 36 49 55 23
7/7/12	03 05 29 39 59 29
7/4/12	14 19 35 39 56 33
6/30/12	07 15 20 41 44 22
6/27/12	06 34 40 46 58 06
6/23/12	01 03 41 44 53 30
6/20/12	11 17 29 56 57 14
6/16/12	08 14 15 16 27 26
6/13/12	07 10 14 33 57 18
6/9/12	18 22 45 56 57 27
6/6/12	19 30 33 48 59 27
6/2/12	09 10 17 29 45 33
5/30/12	09 10 24 52 56 14
5/26/12	13 14 41 49 59 14
5/23/12	04 07 26 53 59 32
5/19/12	08 13 35 46 51 30
5/16/12	03 07 21 28 43 02
5/12/12	10 24 35 53 58 22
5/9/12	01 07 11 55 56 01
5/5/12	09 12 20 44 59 23
5/2/12	07 08 33 38 50 29
4/28/12	31 39 40 57 58 33
4/25/12	04 25 29 34 43 29
4/21/12	06 08 20 42 51 16
4/18/12	20 22 39 46 49 29
4/14/12	14 15 16 19 24 02
4/11/12	16 23 42 44 47 02
4/7/12	05 13 17 20 30 18
4/4/12	01 24 33 45 49 06
3/31/12	05 14 36 54 58 27
3/28/12	11 16 29 50 58 33
3/24/12	01 15 35 37 47 08
3/21/12	32 43 53 55 56 06
3/17/12	11 14 49 55 58 30
3/14/12	01 08 41 46 59 24
3/10/12	05 14 17 20 41 05
3/7/12	12 35 45 46 47 12
3/3/12	29 30 45 47 49 35
2/29/12	01 04 11 23 26 14
2/25/12	06 11 42 53 54 07
2/22/12	07 16 17 39 51 32
2/18/12	23 28 50 56 59 05
2/15/12	11 12 32 52 56 11
2/11/12	01 10 37 52 57 11
2/8/12	17 28 38 39 51 33
2/4/12	15 23 43 45 56 07
2/1/12	08 13 17 34 59 35
1/28/12	05 33 41 54 59 13
1/25/12	04 19 28 29 47 05
1/21/12	12 24 43 44 45 07
1/18/12	06 29 34 44 50 28
1/14/12	10 30 36 38 41 01	5
1/11/12	05 19 29 45 47 25	2
1/7/12	03 21 24 38 39 24	5
1/4/12	21 35 46 47 50 02	4
12/31/11	05 23 25 28 40 34	4
12/28/11	16 21 27 41 45 14	2
12/24/11	14 16 30 51 52 19	2
12/21/11	10 13 15 31 54 18	5
12/17/11	13 28 49 51 59 33	4
12/14/11	02 24 46 52 56 19	5
12/10/11	04 19 33 41 59 09	5
12/7/11	03 14 20 39 40 37	2
12/3/11	05 18 33 43 45 08	3
11/30/11	02 06 34 35 47 22	2
11/26/11	20 37 39 45 55 28	2
11/23/11	04 30 35 57 59 25	2
11/19/11	09 16 17 28 30 11	3
11/16/11	13 22 25 39 51 28	2
11/12/11	04 35 36 51 56 08	5
11/9/11	05 35 57 58 59 12	3
11/5/11	02 33 39 40 43 26	3
11/2/11	12 14 34 39 46 36	4
10/29/11	11 16 40 51 56 38	5
10/26/11	01 18 21 39 55 06	3
10/22/11	03 08 23 30 58 13	4
10/19/11	16 26 35 52 58 02	5
10/15/11	05 10 24 38 43 01	4
10/12/11	10 12 23 43 47 18	3
10/8/11	03 27 35 37 45 31	5
10/5/11	07 20 43 46 54 17	4
10/1/11	01 12 23 27 43 31	3
9/28/11	30 41 50 51 53 08	2
9/24/11	03 04 12 27 44 26	5
9/21/11	12 47 48 52 55 13	4
9/17/11	06 20 22 32 43 11	2
9/14/11	16 41 42 50 59 05	3
9/10/11	04 19 22 32 53 24	4
9/7/11	03 05 18 27 54 13	4
9/3/11	15 25 52 53 54 02	5
8/31/11	13 19 35 47 57 29	5
8/27/11	02 12 25 54 58 14	3
8/24/11	09 13 47 49 53 39	5
8/20/11	02 17 23 28 47 36	2
8/17/11	18 28 31 48 52 37	4
8/13/11	09 12 35 50 58 04	2
8/10/11	11 18 36 41 46 38	4
8/6/11	25 30 54 57 59 06	3
8/3/11	13 19 21 28 49 11	2
7/30/11	20 40 41 47 55 19	2
7/27/11	38 40 41 51 59 33	2
7/23/11	01 07 27 38 48 30	3
7/20/11	01 04 38 40 42 17	4
7/16/11	24 28 48 50 54 25	3
7/13/11	08 18 19 32 54 08	4
7/9/11	01 09 11 23 31 06	3
7/6/11	11 15 24 50 55 08	2
7/2/11	01 11 18 29 51 32	3
6/29/11	24 30 45 57 59 26	3
6/25/11	18 36 39 41 57 12	4
6/22/11	12 15 19 46 59 12	4
6/18/11	12 21 22 38 41 18	2
6/15/11	19 20 38 41 43 29	4
6/11/11	16 18 27 36 50 08	3
6/8/11	14 37 44 45 53 29	5
6/4/11	17 19 39 41 58 21	5
6/1/11	08 18 38 46 56 31	4
5/28/11	12 20 43 51 55 11	4
5/25/11	04 23 31 42 50 23	2
5/21/11	02 08 40 49 50 36	3
5/18/11	07 12 13 42 49 16	4
5/14/11	08 17 18 40 44 16	2
5/11/11	09 17 32 43 45 31	3
5/7/11	02 11 27 47 55 15	4
5/4/11	03 15 27 29 41 24	4
4/30/11	06 13 15 32 41 03	2
4/27/11	04 24 40 44 55 05	2
4/23/11	03 11 47 48 58 19	3
4/20/11	09 24 34 36 43 27	3
4/16/11	21 33 44 45 55 07	5
4/13/11	04 23 39 49 50 39	3
4/9/11	05 14 32 53 56 11	4
4/6/11	10 18 41 55 56 15	2
4/2/11	06 22 34 43 45 23	2
3/30/11	19 20 42 56 58 37	4
3/26/11	04 10 11 19 33 27	4
3/23/11	05 15 26 28 32 09	2
3/19/11	03 11 20 27 46 08	2
3/16/11	28 39 40 48 53 09	3
3/12/11	01 04 12 41 47 03	4
3/9/11	12 20 28 40 48 08	2
3/5/11	02 23 31 42 48 21	2
3/2/11	07 31 50 51 58 06	2
2/26/11	04 13 17 21 45 10	5
2/23/11	29 32 36 39 49 29	3
2/19/11	03 12 34 37 42 36	5
2/16/11	09 13 21 23 48 24	2
2/12/11	11 32 36 48 52 19	4
2/9/11	07 11 39 42 51 30	4
2/5/11	15 37 41 56 59 05	5
2/2/11	03 14 33 53 57 36	4
1/29/11	24 28 45 49 52 02	4
1/26/11	04 05 36 47 58 06	3
1/22/11	30 31 34 45 51 23	2
1/19/11	22 36 51 56 59 32	3
1/15/11	09 13 22 23 37 31	3
1/12/11	19 21 23 40 48 27	4
1/8/11	06 07 26 33 52 24	2
1/5/11	22 26 32 38 40 07	5
1/1/11	18 22 37 47 54 36	2
12/29/10	03 16 18 20 37 30	2
12/25/10	01 17 38 50 52 24	2
12/22/10	11 33 44 46 47 12	2
12/18/10	04 11 19 33 43 14	4
12/15/10	10 11 18 32 45 18	5
12/11/10	01 08 10 19 20 23	2
12/8/10	08 11 25 41 58 16	4
12/4/10	13 24 27 31 42 22	5
12/1/10	05 10 11 12 20 02	3
11/27/10	10 30 37 47 54 39	5
11/24/10	08 20 21 32 37 04	3
11/20/10	10 12 38 53 57 01	5
11/17/10	14 16 53 54 59 05	3
11/13/10	17 30 48 51 54 29	5
11/10/10	05 08 11 40 44 10	4
11/6/10	07 12 23 34 38 33	4
11/3/10	34 38 39 45 50 33	2
10/30/10	01 07 27 36 49 39	5
10/27/10	20 24 25 53 59 15	5
10/23/10	02 07 16 20 46 34	4
10/20/10	07 17 20 39 59 17	3
10/16/10	11 12 15 16 28 11	2
10/13/10	12 22 32 34 46 02	4
10/9/10	02 06 32 42 49 35	3
10/6/10	14 26 37 41 46 24	5
10/2/10	12 20 30 36 47 25	4
9/29/10	13 44 51 52 55 30	4
9/25/10	08 16 27 35 42 30	2
9/22/10	10 24 36 52 55 15	5
9/18/10	01 18 37 39 44 13	4
9/15/10	07 20 21 34 43 34	5
9/11/10	07 17 20 36 59 33	4
9/8/10	10 35 39 51 57 20	5
9/4/10	11 14 22 33 42 38	2
9/1/10	17 20 21 40 51 19	3
8/28/10	04 22 27 32 56 13	4
8/25/10	16 17 29 31 36 23	3
8/21/10	07 10 12 22 27 26	2
8/18/10	04 32 33 47 55 39	3
8/14/10	09 33 36 50 58 31	2
8/11/10	07 10 22 23 52 29	2
8/7/10	04 22 26 31 52 30	5
8/4/10	19 28 30 37 53 36	4
7/31/10	01 16 17 41 57 15	3
7/28/10	01 11 20 25 27 02	5
7/24/10	20 30 38 46 59 27	2
7/21/10	16 22 30 51 58 25	3
7/17/10	22 27 35 37 45 03	4
7/14/10	20 21 23 38 42 06	3
7/10/10	20 21 27 28 56 04	4
7/7/10	10 41 44 48 56 04	2
7/3/10	03 10 14 52 53 03	3
6/30/10	06 38 43 47 48 27	5
6/26/10	13 30 32 38 57 25	4
6/23/10	11 30 45 47 48 10	3
6/19/10	09 30 31 50 54 39	3
6/16/10	08 11 18 29 36 06	5
6/12/10	09 12 13 35 38 30	10
6/9/10	14 22 27 32 49 05	4
6/5/10	18 34 40 48 59 25	4
6/2/10	04 09 14 39 43 38	4
5/29/10	01 03 24 28 41 10	4
5/26/10	01 06 10 13 20 32	4
5/22/10	19 20 40 47 57 29	2
5/19/10	02 07 29 55 58 27	3
5/15/10	15 21 23 28 36 20	2
5/12/10	37 51 52 53 58 38	2
5/8/10	05 22 34 41 57 31	5
5/5/10	13 34 40 47 57 11	4
5/1/10	16 23 25 49 58 20	4
4/28/10	12 22 25 28 44 24	4
4/24/10	01 12 53 56 57 05	2
4/21/10	11 34 41 49 55 20	2
4/17/10	05 21 22 41 49 15	5
4/14/10	06 14 32 38 52 20	3
4/10/10	21 22 49 52 58 34	2
4/7/10	04 36 40 44 52 33	2
4/3/10	10 15 31 52 59 04	4
3/31/10	05 13 17 45 54 12	5
3/27/10	07 21 32 44 52 10	4
3/24/10	14 20 24 39 49 07	3
3/20/10	09 36 39 44 45 09	2
3/17/10	24 26 45 48 55 08	2
3/13/10	06 16 20 31 36 08	5
3/10/10	17 21 37 41 50 01	2
3/6/10	10 29 33 41 59 15	2
3/3/10	07 09 14 45 49 23	4
2/27/10	18 47 51 53 58 30	2
2/24/10	04 17 35 50 57 12	2
2/20/10	13 27 37 41 54 32	2
2/17/10	07 08 19 26 36 15	3
2/13/10	10 14 30 40 51 01	4
2/10/10	05 08 29 37 38 34	5
2/6/10	14 22 52 54 59 04	3
2/3/10	17 22 36 37 52 24	2
5/1/21	35 36 47 61 63 03	3
5/5/21	16 23 28 40 63 01	2
5/8/21	12 17 20 21 26 08	3
5/12/21	01 19 20 38 54 17	2
5/15/21	04 10 37 39 69 24	3
5/19/21	11 13 55 56 69 04	2
5/22/21	03 19 27 37 40 08	2
5/26/21	02 08 21 34 62 16	2
5/29/21	11 13 22 27 46 20	2
6/2/21	06 07 11 66 67 19	3
6/5/21	44 52 54 64 69 26	3
6/12/21	08 25 34 38 41 10	3
6/16/21	19 29 34 44 50 25	2
6/19/21	04 22 35 38 39 20	2
6/23/21	13 20 40 51 63 01	3
6/26/21	08 31 39 43 60 17	3
6/30/21	24 29 50 65 66 14	4
7/3/21	26 40 41 55 65 24	2
7/7/21	08 21 30 49 57 08	2
7/10/21	01 05 29 54 62 03	2
7/14/21	33 46 52 59 62 10	2
7/17/21	15 22 38 54 66 03	2
7/21/21	27 28 44 67 68 11	2
7/24/21	01 04 11 59 67 10	2
7/28/21	25 30 53 59 60 05	3
7/31/21	01 21 22 34 47 04	2
8/4/21	05 21 32 36 58 14	2
8/7/21	07 24 36 54 60 23	2
8/11/21	12 18 20 29 30 16	3
8/14/21	06 21 49 65 67 18	2
8/18/21	35 36 51 55 61 26	2
8/21/21	16 28 36 39 59 04	2
8/23/21	17 36 47 60 61 15	3
8/25/21	27 39 54 56 59 24	3
8/28/21	12 22 26 46 59 26	2
8/30/21	03 15 45 51 61 08	2
9/1/21	10 20 29 48 51 17	2
9/4/21	32 35 40 52 54 01	5
9/6/21	11 20 22 33 54 24	2
9/8/21	09 22 41 47 61 21	2
9/11/21	20 31 38 40 49 21	2
9/13/21	37 40 50 61 63 21	3
9/15/21	01 04 18 46 62 25	3
9/18/21	05 36 39 45 57 11	2
9/20/21	37 51 54 58 60 19	2
9/22/21	20 40 47 55 63 05	3
9/25/21	22 23 37 62 63 19	3
9/27/21	21 22 39 44 60 12	2
9/29/21	02 07 11 17 32 11	3
10/2/21	28 38 42 47 52 01	2
10/4/21	12 22 54 66 69 15	2
10/6/21	01 17 52 58 64 01	10
10/9/21	12 17 30 45 62 05	2
10/11/21	11 20 33 39 65 24	3
10/13/21	23 29 47 59 60 15	2
10/16/21	30 31 41 42 48 03	3
10/18/21	30 32 48 53 63 12	2
10/20/21	07 29 36 41 43 05	2
10/23/21	10 30 51 57 63 20	2
10/25/21	10 27 29 44 58 24	2
10/27/21	03 06 26 35 51 17	4
10/30/21	05 23 28 43 56 19	2
11/1/21	09 25 34 44 45 08	3
11/3/21	01 02 24 50 57 26	2
11/6/21	08 30 48 57 64 09	2
11/8/21	21 46 47 57 62 08	3
11/10/21	19 25 43 46 48 14	2
11/13/21	08 15 26 35 45 09	3
11/15/21	05 31 34 51 53 23	2
11/17/21	03 16 48 52 60 01	3
11/20/21	40 43 48 59 69 19	3
11/22/21	07 20 29 38 67 22	2
11/24/21	10 16 32 63 65 17	2
11/27/21	08 32 55 64 66 10	2
11/29/21	18 26 28 38 47 17	2
12/1/21	12 15 38 57 63 24	2
12/4/21	10 40 45 56 67 02	2
12/6/21	03 21 38 50 59 06	3
12/8/21	03 07 33 50 69 24	2
12/11/21	03 25 44 53 64 10	2
12/13/21	10 30 37 53 59 04	2
12/15/21	19 20 40 42 59 15	3
12/18/21	02 06 24 51 61 01	2
12/20/21	02 13 23 34 66 02	4
12/22/21	07 16 19 48 68 15	2
12/25/21	27 29 45 55 58 02	3
12/27/21	36 38 45 62 64 19	2
12/29/21	02 06 09 33 39 11	2
1/1/22	06 12 39 48 50 07	2
1/3/22	02 13 32 33 48 22	2
1/5/22	06 14 25 33 46 17	2
1/8/22	20 21 36 60 65 13	10
1/10/22	14 17 18 21 27 09	2
1/12/22	12 21 22 30 33 24	4
1/15/22	03 18 37 51 59 13	2
1/17/22	09 24 35 46 65 22	2
1/19/22	11 15 43 55 61 10	3
1/22/22	08 14 33 36 67 17	2
1/24/22	11 29 30 47 53 16	3
1/26/22	04 11 38 49 69 16	3
1/29/22	02 15 38 54 65 11	4
1/31/22	10 15 51 61 69 14	3
2/2/22	18 29 33 62 63 15	3
2/5/22	05 16 27 39 61 24	2
2/7/22	05 15 38 47 65 10	3
2/9/22	02 17 33 51 63 26	2
2/12/22	08 10 21 41 62 07	3
2/14/22	16 25 27 49 55 17	3
2/16/22	22 30 40 42 48 16	2
2/19/22	03 10 15 33 42 11	2
2/21/22	02 36 37 45 69 03	2
2/23/22	06 17 21 35 64 18	2
2/26/22	15 32 36 48 64 19	3
2/28/22	07 21 39 47 55 19	2
3/2/22	19 37 48 61 63 12	2
3/5/22	08 23 37 52 63 13	2
3/7/22	10 43 55 59 67 02	3
3/9/22	13 22 34 51 67 10	2
3/14/22	21 28 32 44 49 06	3
3/16/22	03 28 34 35 58 17	2
3/19/22	08 09 18 48 52 06	2
3/21/22	01 15 26 63 65 16	2
3/23/22	31 32 37 38 48 24	2
3/26/22	02 10 50 59 61 06	3
3/28/22	11 18 39 58 62 03	2
3/30/22	03 07 21 31 37 11	3
4/2/22	06 28 47 58 59 18	2
4/4/22	02 32 39 46 69 06	2
4/6/22	06 42 45 47 64 18	3
4/11/22	05 07 24 31 34 04	2
4/13/22	14 16 41 63 68 26	2
4/16/22	15 21 32 62 65 26	5
4/18/22	08 33 55 59 62 18	2
4/20/22	20 30 45 55 56 14	2
4/23/22	10 39 47 49 56 08	3
4/25/22	12 18 20 39 61 10	2
4/27/22	11 36 61 62 68 04	2
4/30/22	14 21 37 44 63 01	3
5/2/22	18 27 33 39 44 08	5
5/4/22	37 39 55 63 69 23	2
5/7/22	04 05 06 28 67 10	2
5/9/22	18 30 35 52 56 05	2
5/11/22	05 07 61 63 69 18	2
5/14/22	06 40 41 45 52 09	3
5/16/22	07 15 22 36 64 13	2
5/18/22	40 41 58 64 65 17	3
5/21/22	14 15 25 52 58 11	2
5/23/22	01 33 37 39 42 26	2
5/25/22	19 28 39 42 57 17	3
5/28/22	02 39 50 61 66 15	2
5/30/22	27 28 51 68 69 22	2
6/1/22	11 41 56 57 63 02	2
6/4/22	14 16 36 52 60 16	3
6/6/22	02 10 35 44 46 04	2
6/8/22	22 39 43 62 64 07	4
6/11/22	18 20 26 53 69 05	2
6/13/22	02 27 42 44 51 25	2
6/15/22	19 28 41 42 51 07	2
6/18/22	10 19 40 45 58 25	2
6/20/22	03 44 61 63 69 13	2
6/22/22	06 10 31 48 56 12	3
6/25/22	06 12 20 27 32 04	3
6/27/22	11 13 18 30 37 16	3
6/29/22	08 40 49 58 63 14	3
7/2/22	09 10 37 59 62 26	3
7/4/22	15 16 24 31 56 04	2
7/6/22	32 36 49 62 69 13	2
7/9/22	14 22 42 46 52 24	3
7/11/22	04 26 34 37 52 09	2
7/13/22	22 23 36 47 63 02	2
7/16/22	03 18 23 32 57 21	2
7/18/22	14 34 36 50 58 05	3
7/20/22	10 20 23 49 65 22	3
7/23/22	39 41 54 59 62 12	3
7/25/22	25 37 38 39 65 05	2
7/27/22	01 25 44 55 57 26	2
7/30/22	04 17 57 58 68 12	3
8/1/22	15 21 31 36 65 16	3
8/3/22	09 21 56 57 66 11	2
8/6/22	08 15 46 56 68 03	2
8/8/22	32 45 51 57 58 12	2
8/10/22	29 44 59 61 68 19	2
8/13/22	19 24 35 43 62 02	10
8/15/22	20 24 47 50 63 05	2
8/17/22	23 28 41 50 55 24	2
8/20/22	05 09 11 16 66 07	2
8/22/22	12 27 34 55 67 09	2
8/24/22	06 24 35 37 44 22	4
8/27/22	02 18 56 60 65 14	3
8/29/22	13 36 43 61 69 18	3
8/31/22	07 08 19 24 28 01	2
9/3/22	18 27 49 65 69 09	2
9/5/22	04 07 32 55 64 25	2
9/7/22	03 16 30 33 36 20	3
9/10/22	38 42 56 68 69 04	2
9/12/22	06 14 16 34 66 25	3
9/14/22	09 10 20 22 52 25	3
9/17/22	05 25 36 51 61 01	3
9/19/22	07 15 36 46 67 07	2
9/21/22	06 33 34 45 54 07	2
9/24/22	03 09 21 24 29 14	2
9/26/22	13 20 31 33 59 20	3
9/28/22	06 10 24 33 67 11	3
10/1/22	08 21 22 65 69 26	2
10/3/22	02 16 22 55 63 22	4
10/5/22	26 30 33 37 62 06	2
10/8/22	13 43 53 60 68 05	2
10/10/22	03 06 11 17 22 11	2
10/12/22	14 30 41 42 59 06	5
10/15/22	32 37 40 58 62 15	5
10/17/22	19 30 36 46 60 25	3
10/19/22	06 08 15 27 42 10	3
10/22/22	19 25 48 55 60 18	2
10/24/22	18 23 35 45 54 16	4
10/26/22	19 36 37 46 56 24	2
10/29/22	19 31 40 46 57 23	3
10/31/22	13 19 36 39 59 13	3
11/2/22	02 11 22 35 60 23	2
11/5/22	28 45 53 56 69 20	3
11/9/22	07 14 24 30 56 07	2
11/12/22	16 20 44 57 58 06	4
11/14/22	19 35 53 54 67 21	2
11/16/22	28 34 51 53 56 11	2
11/19/22	07 28 62 63 64 10	3
11/21/22	01 06 40 51 67 02	2
11/23/22	01 02 31 39 66 25	2
11/26/22	15 30 47 50 51 03	10
11/28/22	29 30 32 48 50 20	2
11/30/22	04 19 24 47 66 10	2
12/3/22	06 13 33 36 37 07	4
12/5/22	35 45 47 54 55 14	2
12/7/22	06 28 44 59 61 21	2
12/10/22	09 23 47 49 68 19	2
12/12/22	16 31 50 55 61 09	4
12/14/22	36 51 59 66 68 25	10
12/17/22	33 56 64 66 68 12	2
12/19/22	07 37 55 65 67 12	5
12/21/22	12 15 24 34 59 14	2
12/24/22	17 37 46 54 67 08	3
12/26/22	17 41 47 60 61 17	3
12/28/22	26 32 38 45 56 01	2
12/31/22	18 37 44 50 64 11	3
1/2/23	07 09 12 31 62 22	2
1/4/23	12 32 56 67 68 26	3
1/7/23	35 36 44 45 67 14	3
1/9/23	18 43 48 60 69 14	3
1/11/23	04 08 46 47 48 05	3
1/14/23	24 26 39 47 57 23	2
